Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
"Max Meyer, Sendr - Parallax",Parallax(Sunny Lax Remix),"MaxMeyer,Sendr",SunnyLax,Trance,128,G maj,4:44,FG277
"Max Meyer, Sendr - Parallax",Parallax(Original Mix),"MaxMeyer,Sendr",,Trance,128,G maj,4:00,FG277
"Milad E, Jon Bourne - Failure / Ameera",Failure(Original Mix),MiladE,,Trance,128,G♭ min,6:24,FG276
"Milad E, Jon Bourne - Failure / Ameera",Ameera(Original Mix),JonBourne,,Trance,128,D min,5:30,FG276
Orphyd - Little Dreamer,Little Dreamer(Extended Mix),Orphyd,,Trance,128,G♭ min,6:18,FG275
Orphyd - Little Dreamer,Little Dreamer(Original Mix),Orphyd,,Trance,128,G♭ min,3:36,FG275
"Max Freegrant, Slow Fish - Sweet Lies",Sweet Lies(Extended Mix),"MaxFreegrant,SlowFish",,ProgressiveHouse,122,D min,7:13,FG274
"Max Freegrant, Slow Fish - Sweet Lies",Sweet Lies(Original Mix),"MaxFreegrant,SlowFish",,ProgressiveHouse,122,D min,3:50,FG274
"Tony Hammer, Josa, A-Line, Wilderness - Carpe Noctem  / Sentiment",Carpe Noctem(Original Mix),"TonyHammer,Josa",,Trance,128,A♭ min,6:22,FG273
"Tony Hammer, Josa, A-Line, Wilderness - Carpe Noctem  / Sentiment",Sentiment(Original Mix),"A-Line,Wilderness",,Trance,128,F min,6:05,FG273
DJ Xquizit - Superstyle,Superstyle(Original Mix),DJXquizit,,Trance,130,A min,5:30,FG272
Francesco Sambero - Uoy / Ozone,Uoy(Original Mix),FrancescoSambero,,Trance,125,C maj,5:46,FG271
Francesco Sambero - Uoy / Ozone,Ozone(Original Mix),FrancescoSambero,,Trance,126,D min,5:58,FG271
"Athom, Josa - Nebula",Nebula(Original Mix),"Athom,Josa",,Trance,128,A♭ min,3:10,FG270
"Athom, Josa - Nebula",Nebula(Extended Mix),"Athom,Josa",,Trance,128,A♭ min,6:38,FG270
"Leonard A, Amst - Coba / Sexerei",Coba(Original Mix),LeonardA,,Trance,128,E min,5:45,FG269
"Leonard A, Amst - Coba / Sexerei",Sexerei(Original Mix),Amst,,Trance,128,E min,6:15,FG269
"Scolario, Envytone - Tonight",Tonight(Extended Mix),"Scolario,Envytone",,Trance,128,G min,5:40,FG268
"Scolario, Envytone - Tonight",Tonight(Original Mix),"Scolario,Envytone",,Trance,80,G min,3:06,FG268
"Bodo Kaiser, Dezza, Theølogy, Profetik, H3 - The Best Of 2017 (New Year Compilation), Pt. 2",Summer Star(Original Mix),BodoKaiser,,Trance,128,A min,4:44,FGC035
"Bodo Kaiser, Dezza, Theølogy, Profetik, H3 - The Best Of 2017 (New Year Compilation), Pt. 2",Stratos(Lee Fraser Remix),Dezza,LeeFraser,ProgressiveHouse,124,G♭ maj,7:46,FGC035
"Bodo Kaiser, Dezza, Theølogy, Profetik, H3 - The Best Of 2017 (New Year Compilation), Pt. 2",Soul Dreamer(Original Mix),"Theølogy,Profetik",,Trance,128,E♭ min,5:30,FGC035
"Bodo Kaiser, Dezza, Theølogy, Profetik, H3 - The Best Of 2017 (New Year Compilation), Pt. 2",Black Hole(Original Mix),H3,,ProgressiveHouse,124,F maj,7:19,FGC035
"Bodo Kaiser, Dezza, Theølogy, Profetik, H3 - The Best Of 2017 (New Year Compilation), Pt. 2",Fingerprints(Adrian Alexander Remix),"MaxFreegrant,TimHilberts",AdrianAlexander,Trance,128,E min,7:02,FGC035
"Bodo Kaiser, Dezza, Theølogy, Profetik, H3 - The Best Of 2017 (New Year Compilation), Pt. 2",Hydra(Extended Mix),Emme,,Trance,128,C min,5:30,FGC035
"Bodo Kaiser, Dezza, Theølogy, Profetik, H3 - The Best Of 2017 (New Year Compilation), Pt. 2",Having Opened Your Night(Original Mix),Snade,,Trance,128,D min,5:16,FGC035
"Bodo Kaiser, Dezza, Theølogy, Profetik, H3 - The Best Of 2017 (New Year Compilation), Pt. 2",White Island(Skylane Remix),"DominicManns,AxelPolo",Skylane,Trance,128,G maj,6:22,FGC035
"Bodo Kaiser, Dezza, Theølogy, Profetik, H3 - The Best Of 2017 (New Year Compilation), Pt. 2",Shame(Anden Remix),"MaxFreegrant,PryceOliver",Anden,ProgressiveHouse,125,A maj,6:15,FGC035
"Bodo Kaiser, Dezza, Theølogy, Profetik, H3 - The Best Of 2017 (New Year Compilation), Pt. 2",Red Hill(Original Mix),BlazeSulinski,,Trance,132,A maj,6:27,FGC035
"Bodo Kaiser, Dezza, Theølogy, Profetik, H3 - The Best Of 2017 (New Year Compilation), Pt. 2",Flux(Original Mix),"Jaureguii,ChrisKaizenn",,Trance,130,D min,5:56,FGC035
"Bodo Kaiser, Dezza, Theølogy, Profetik, H3 - The Best Of 2017 (New Year Compilation), Pt. 2",The Islander(Original Mix),CyrilRyaz,,Trance,128,G min,5:45,FGC035
"Bodo Kaiser, Dezza, Theølogy, Profetik, H3 - The Best Of 2017 (New Year Compilation), Pt. 2",Slippin Away(Stage Rockers Remix),"ChrisWillis,MaxFreegrant",StageRockers,DeepHouse,124,D min,5:09,FGC035
"Bodo Kaiser, Dezza, Theølogy, Profetik, H3 - The Best Of 2017 (New Year Compilation), Pt. 2",Ancient Asia(Original Mix),AndreaBertolini,,ProgressiveHouse,126,C maj,5:31,FGC035
