Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
Ahmed Romel - Yarden,Yarden(Original Mix),AhmedRomel,,Trance,138,G♭ maj,9:11,FSOE093
"Susana, Ram, Bjorn Akesson, Aly & Fila, Jwaydan - Future Sound of Egypt #BeatportDecade Trance",RAMelia (Tribute To Amelia)(Original Mix),"Susana,Ram",,Trance,138,E♭ maj,8:17,ARVA660
"Susana, Ram, Bjorn Akesson, Aly & Fila, Jwaydan - Future Sound of Egypt #BeatportDecade Trance",Gunsmoke(Original Mix),BjornAkesson,,Trance,134,E♭ min,6:37,ARVA660
"Susana, Ram, Bjorn Akesson, Aly & Fila, Jwaydan - Future Sound of Egypt #BeatportDecade Trance",We Control The Sunlight feat. Jwaydan(Original Mix),"Aly&Fila,Jwaydan",,Trance,140,D♭ min,8:29,ARVA660
"Susana, Ram, Bjorn Akesson, Aly & Fila, Jwaydan - Future Sound of Egypt #BeatportDecade Trance",Folding Your Universe(Original Mix),"ReOrder,IanStanderwick,Skypatrol",,Trance,138,G maj,7:02,ARVA660
"Susana, Ram, Bjorn Akesson, Aly & Fila, Jwaydan - Future Sound of Egypt #BeatportDecade Trance",Sand Theme - FSOE 250 Anthem(Original Mix),"Aly&Fila,BjornAkesson",,Trance,68,F maj,7:38,ARVA660
"Susana, Ram, Bjorn Akesson, Aly & Fila, Jwaydan - Future Sound of Egypt #BeatportDecade Trance",Starships Over Alice(Original Mix),ArcticMoon,,Trance,140,A maj,8:34,ARVA660
"Susana, Ram, Bjorn Akesson, Aly & Fila, Jwaydan - Future Sound of Egypt #BeatportDecade Trance",Valhalla(Original Mix),"PaulWebster,ArcticMoon",,Trance,138,F maj,8:28,ARVA660
"Susana, Ram, Bjorn Akesson, Aly & Fila, Jwaydan - Future Sound of Egypt #BeatportDecade Trance",The World feat. Lo-Fi Sugar(Original Mix),"SeanTyas,Lo-FiSugar",,Trance,137,E♭ maj,7:19,ARVA660
"Susana, Ram, Bjorn Akesson, Aly & Fila, Jwaydan - Future Sound of Egypt #BeatportDecade Trance",Hole In The Sky(Arctic Moon Remix),TonnyNesse,ArcticMoon,Trance,138,C min,9:23,ARVA660
"Susana, Ram, Bjorn Akesson, Aly & Fila, Jwaydan - Future Sound of Egypt #BeatportDecade Trance",Sailing Airwaves (In Memory of Matt Trigle)(Original Mix),"ReOrder,IanStanderwick,Skypatrol",,Trance,138,D♭ maj,6:57,ARVA660
A & Z - Invocation,Invocation(Original Mix),A&Z,,Trance,140,A♭ min,8:27,FSOE092
"Neptune Project, Polly Strange - In Your Mind",In Your Mind feat. Polly Strange(Original Mix),"NeptuneProject,PollyStrange",,Trance,140,E♭ min,8:20,FSOE091
"Aly & Fila, Sylvia Tosun, Roger Shah - Eye 2 Eye (FSOE350 Anthem)",Eye 2 Eye (FSOE 350 Anthem) feat. Sylvia Tosun(Extended Mix),"Aly&Fila,SylviaTosun,RogerShah",,Trance,138,C maj,7:44,FSOE090
STANDERWICK - Valyrian,Valyrian(Original Mix),STANDERWICK,,Trance,138,G min,7:28,FSOE089
Will Atkinson - Eternally,Eternally(Original Mix),WillAtkinson,,Trance,137,E♭ min,9:36,FSOE088
"A & Z, Allen & Envy, Andres Sanchez, Omar Sherif, Ameera - FSOE Summer 2014 Exclusives",Osiris(Original Mix),"A&Z,Allen&Envy",,Trance,140,B♭ maj,8:22,FSOE087
"A & Z, Allen & Envy, Andres Sanchez, Omar Sherif, Ameera - FSOE Summer 2014 Exclusives",Until Amnesia(Original Mix),"AndresSanchez,OmarSherif",,Trance,138,B♭ maj,7:44,FSOE087
"A & Z, Allen & Envy, Andres Sanchez, Omar Sherif, Ameera - FSOE Summer 2014 Exclusives",Hayati feat. Ameera(Original Mix),"Ameera,Medi,Kheiro",,Trance,140,A maj,8:43,FSOE087
"A & Z, Allen & Envy, Andres Sanchez, Omar Sherif, Ameera - FSOE Summer 2014 Exclusives",Tapestry(Original Mix),NobleSix,,Trance,138,E♭ maj,7:42,FSOE087
"A & Z, Allen & Envy, Andres Sanchez, Omar Sherif, Ameera - FSOE Summer 2014 Exclusives",Unbreakable(Original Mix),TempleOne,,Trance,138,E♭ maj,6:53,FSOE087
"Aly & Fila, Jaren - For All Time",For All Time(Extended Mix),"Aly&Fila,Jaren",,Trance,140,E♭ maj,7:27,FSOE086
"Aly & Fila, Jaren - For All Time",For All Time(Avenue One Remix),"Aly&Fila,Jaren",AvenueOne,Trance,130,E♭ maj,6:39,FSOE086
